text,intent,entities,maturity_score,category,metadata
Quais ferramentas de TI sua empresa utiliza diariamente?,assess_technology,"[('ferramentas de TI', 'TECNOLOGIA')]",3,technology,"{'industry': 'manufacturing', 'company_size': 'large'}"
Vocês usam soluções em nuvem como AWS ou Azure?,assess_technology,"[('nuvem', 'TECNOLOGIA'), ('AWS', 'TECNOLOGIA'), ('Azure', 'TECNOLOGIA')]",4,technology,"{'industry': 'tech', 'company_size': 'sme'}"
Como é feita a gestão de segurança de dados aqui?,assess_technology,"[('segurança de dados', 'TECNOLOGIA')]",2,technology,"{'industry': 'finance', 'company_size': 'large'}"
A empresa tem estratégia para adoção de inteligência artificial?,assess_technology,"[('inteligência artificial', 'TECNOLOGIA')]",1,technology,"{'industry': 'retail', 'company_size': 'sme'}"
Há monitoramento em tempo real dos sistemas de TI?,assess_technology,"[('monitoramento em tempo real', 'TECNOLOGIA')]",4,technology,"{'industry': 'healthcare', 'company_size': 'medium'}"
Como são gerenciados os fluxos de trabalho entre departamentos?,assess_processes,"[('fluxos de trabalho', 'PROCESSO')]",2,processes,"{'industry': None, 'company_size': None}"
Vocês utilizam metodologias ágeis como Scrum ou Kanban?,assess_processes,"[('metodologias ágeis', 'PROCESSO'), ('Scrum', 'PROCESSO'), ('Kanban', 'PROCESSO')]",4,processes,"{'industry': None, 'company_size': None}"
Existe padronização de processos operacionais?,assess_processes,"[('padronização', 'PROCESSO')]",3,processes,"{'industry': None, 'company_size': None}"
Como é feita a integração entre sistemas legados e novas plataformas?,assess_processes,"[('sistemas legados', 'PROCESSO')]",1,processes,"{'industry': None, 'company_size': None}"
Há automação de tarefas repetitivas?,assess_processes,"[('automação', 'PROCESSO')]",5,processes,"{'industry': None, 'company_size': None}"
Os colaboradores são incentivados a propor novas ideias?,assess_culture,"[('propor novas ideias', 'CULTURA')]",3,culture,"{'industry': None, 'company_size': None}"
Há programas de treinamento em competências digitais?,assess_culture,"[('treinamento', 'CULTURA'), ('competências digitais', 'CULTURA')]",2,culture,"{'industry': None, 'company_size': None}"
Como a empresa lida com falhas durante inovações?,assess_culture,"[('falhas durante inovações', 'CULTURA')]",4,culture,"{'industry': None, 'company_size': None}"
Existe resistência à mudança na equipe?,assess_culture,"[('resistência à mudança', 'CULTURA')]",1,culture,"{'industry': None, 'company_size': None}"
Há colaboração entre equipes de TI e negócios?,assess_culture,"[('colaboração', 'CULTURA')]",3,culture,"{'industry': None, 'company_size': None}"
Existe um roadmap claro para transformação digital?,assess_strategy,"[('roadmap', 'ESTRATÉGIA'), ('transformação digital', 'ESTRATÉGIA')]",2,strategy,"{'industry': None, 'company_size': None}"
Como os líderes acompanham as métricas de maturidade digital?,assess_strategy,"[('métricas de maturidade', 'ESTRATÉGIA')]",3,strategy,"{'industry': None, 'company_size': None}"
Há alinhamento entre a estratégia digital e os objetivos de negócio?,assess_strategy,"[('objetivos de negócio', 'ESTRATÉGIA')]",4,strategy,"{'industry': None, 'company_size': None}"
A empresa investe em parcerias com startups de tecnologia?,assess_strategy,"[('parcerias com startups', 'ESTRATÉGIA')]",5,strategy,"{'industry': None, 'company_size': None}"
Vocês realizam benchmarks com concorrentes?,assess_strategy,"[('benchmarks', 'ESTRATÉGIA')]",2,strategy,"{'industry': None, 'company_size': None}"
Como são tomadas decisões baseadas em dados na empresa?,assess_data,"[('decisões baseadas em dados', 'DADOS')]",3,data,"{'industry': None, 'company_size': None}"
Vocês usam ferramentas de BI como Power BI ou Tableau?,assess_data,"[('Power BI', 'DADOS'), ('Tableau', 'DADOS')]",4,data,"{'industry': None, 'company_size': None}"
Há uma governança de dados estruturada?,assess_data,"[('governança de dados', 'DADOS')]",2,data,"{'industry': None, 'company_size': None}"
Os dados são integrados em um único repositório?,assess_data,"[('repositório único', 'DADOS')]",1,data,"{'industry': None, 'company_size': None}"
A empresa realiza análises preditivas?,assess_data,"[('análises preditivas', 'DADOS')]",5,data,"{'industry': None, 'company_size': None}"
