text;intent;entities;maturity_score;category;metadata
Quais ferramentas de TI sua empresa utiliza diariamente?;assess_technology;[];3;technology;{'industry': 'manufacturing', 'company_size': 'large'}
Vocês usam soluções em nuvem como AWS ou Azure?;assess_technology;[('nuvem', 'TECNOLOGIA')];4;technology;{'industry': 'tech', 'company_size': 'sme'}
Como é feita a gestão de segurança de dados aqui?;assess_technology;[];2;technology;{'industry': 'finance', 'company_size': 'large'}
A empresa tem estratégia para adoção de inteligência artificial?;assess_technology;[('inteligência artificial', 'TECNOLOGIA')];1;technology;{'industry': 'retail', 'company_size': 'sme'}
Há monitoramento em tempo real dos sistemas de TI?;assess_technology;[];4;technology;{'industry': 'healthcare', 'company_size': 'medium'}
Como são gerenciados os fluxos de trabalho entre departamentos?;assess_processes;[];2;processes;{'industry': None, 'company_size': None}
Vocês utilizam metodologias ágeis como Scrum ou Kanban?;assess_processes;[('metodologias ágeis', 'PROCESSO')];4;processes;{'industry': None, 'company_size': None}
Existe padronização de processos operacionais?;assess_processes;[];3;processes;{'industry': None, 'company_size': None}
Como é feita a integração entre sistemas legados e novas plataformas?;assess_processes;[];1;processes;{'industry': None, 'company_size': None}
Há automação de tarefas repetitivas?;assess_processes;[('automação', 'PROCESSO')];5;processes;{'industry': None, 'company_size': None}
Os colaboradores são incentivados a propor novas ideias?;assess_culture;[];3;culture;{'industry': None, 'company_size': None}
Há programas de treinamento em competências digitais?;assess_culture;[];2;culture;{'industry': None, 'company_size': None}
Como a empresa lida com falhas durante inovações?;assess_culture;[];4;culture;{'industry': None, 'company_size': None}
Existe resistência à mudança na equipe?;assess_culture;[('resistência à mudança', 'CULTURA')];1;culture;{'industry': None, 'company_size': None}
Há colaboração entre equipes de TI e negócios?;assess_culture;[];3;culture;{'industry': None, 'company_size': None}
Existe um roadmap claro para transformação digital?;assess_strategy;[('roadmap', 'ESTRATÉGIA')];2;strategy;{'industry': None, 'company_size': None}
Como os líderes acompanham as métricas de maturidade digital?;assess_strategy;[];3;strategy;{'industry': None, 'company_size': None}
Há alinhamento entre a estratégia digital e os objetivos de negócio?;assess_strategy;[];4;strategy;{'industry': None, 'company_size': None}
A empresa investe em parcerias com startups de tecnologia?;assess_strategy;[];5;strategy;{'industry': None, 'company_size': None}
Vocês realizam benchmarks com concorrentes?;assess_strategy;[];2;strategy;{'industry': None, 'company_size': None}
Como são tomadas decisões baseadas em dados na empresa?;assess_data;[];3;data;{'industry': None, 'company_size': None}
Vocês usam ferramentas de BI como Power BI ou Tableau?;assess_data;[];4;data;{'industry': None, 'company_size': None}
Há uma governança de dados estruturada?;assess_data;[('governança de dados', 'DADOS')];2;data;{'industry': None, 'company_size': None}
Os dados são integrados em um único repositório?;assess_data;[];1;data;{'industry': None, 'company_size': None}
A empresa realiza análises preditivas?;assess_data;[];5;data;{'industry': None, 'company_size': None}
